min_salary,max_salary,has_company_logo,has_questions,employment_type,required_experience,required_education,fraudulent
40000,80000,1,1,1,2,1,0
9600,57600,1,1,1,2,4,0
75000,125000,1,0,1,5,0,0
24000,26000,1,1,1,0,1,0
36000,50000,0,0,1,6,1,0
85,140,1,1,1,5,9,0
75000,80000,0,0,0,5,1,1
50000,70000,0,1,1,0,1,0
0,90000,1,0,3,5,1,0
22000,30000,1,1,1,5,1,0
4500,4500,1,1,1,4,1,0
25000,50000,1,0,1,2,4,0
70000,120000,1,0,1,5,1,0
65000,80000,1,0,1,5,1,0
2500,3500,1,0,1,2,2,1
130000,160000,0,1,1,1,1,0
30000,50000,1,0,1,2,0,0
15000,30000,1,1,1,0,1,0
65000,85000,0,0,1,3,1,0
21120,30000,1,0,1,2,4,0
40000,50000,1,1,1,0,1,0
48000,57600,1,0,1,5,1,0
65000,75000,1,0,0,0,9,0
0,0,1,0,1,6,9,0
40000,50000,1,1,1,6,9,0
0,0,1,1,1,1,1,0
500000,650000,1,0,1,5,9,0
30000,70000,1,0,1,6,9,0
28000,42000,1,1,1,0,4,0
0,1000,1,0,1,5,1,0
50000,80000,1,1,1,5,1,0
65000,75000,1,1,1,5,1,0
80000,90000,0,0,1,5,1,0
23000,32000,1,1,1,0,1,0
13,20,0,0,2,2,4,1
1000,2000,0,0,1,0,0,0
35000,65000,1,1,1,2,4,0
45000,65000,1,1,1,2,1,0
35000,120000,1,1,1,2,4,0
1000,20000,0,1,0,0,6,0
18000,22000,0,1,1,2,1,0
25000,35000,1,0,1,2,4,0
30000,50000,1,0,1,2,4,0
50000,120000,1,0,1,0,4,0
20000,25000,1,0,1,2,9,0
40000,50000,0,1,1,6,9,0
75000,150000,1,0,1,0,9,0
0,30000,0,1,3,6,9,0
15000,17000,1,1,3,0,0,0
0,0,1,1,1,4,1,0
30000,40000,1,1,1,5,1,0
40000,50000,0,0,1,2,1,0
80000,110000,0,0,1,5,1,0
14000,18000,0,0,0,6,10,0
80000,120000,1,0,1,1,9,0
0,0,1,0,2,4,1,0
0,0,1,0,1,2,1,0
115000,125000,0,0,1,5,1,0
90000,120000,1,1,1,5,1,0
70000,80000,1,0,1,5,5,0
60000,80000,1,1,0,0,1,0
21,63000,0,0,1,2,1,1
90000,120000,1,1,1,3,1,0
18000,25000,1,1,1,0,4,0
35000,50000,0,1,1,2,1,0
45750.00,,0,0,1,5,5,0
15500,50000,1,1,1,0,9,0
120000,240000,1,1,1,5,5,0
60000,70000,1,1,1,5,1,0
20000,38000,0,0,1,2,4,1
23000,28000,1,0,1,2,4,0
75000,125000,1,1,1,6,9,0
52000,57000,1,1,1,5,1,0
45751.00,,0,0,1,2,4,0
12000,12000,1,1,4,6,9,0
16000,18500,1,1,1,2,4,0
1600,1600,0,1,1,6,9,0
50000,70000,1,0,1,5,1,0
18000,20000,1,1,1,6,9,0
8000,10000,1,1,1,4,1,0
4500,4500,1,1,1,4,1,0
40000,50000,1,0,1,0,9,0
25000,30000,0,0,1,2,1,0
80000,120000,0,0,1,5,1,0
45000,67000,1,0,1,2,9,0
60000,80000,1,0,1,5,1,0
65000,80000,1,1,1,5,1,0
0,0,1,0,1,5,1,0
0,0,1,1,1,0,1,0
20000,23000,1,1,1,2,4,0
80000,110000,0,0,1,5,1,0
40000,50000,0,0,1,2,1,0
15000,18000,1,1,1,2,4,0
55000,65000,0,0,1,1,5,0
100000,110000,0,1,1,5,1,0
45000,45000,1,1,1,0,4,0
96000,100000,0,0,1,3,1,0
40000,40000,0,1,1,5,1,0
40000,50000,1,0,1,5,1,0
33000,34000,1,0,1,2,0,0
33000,34000,1,0,1,2,0,0
18000,44000,1,0,1,5,6,0
16000,20000,1,1,1,5,9,0
50000,70000,1,1,1,0,1,0
80000,110000,0,0,1,5,1,0
70000,125000,1,1,1,0,1,0
35000,45000,1,1,1,5,1,0
40000,50000,0,0,1,2,1,0
30000,50000,1,0,1,2,4,1
1050,1100,1,0,1,2,4,0
40000,50000,0,0,1,2,1,0
50000,100000,1,1,1,6,9,0
21000,21000,1,1,1,2,9,0
50000,70000,1,1,1,5,1,0
0,0,0,0,4,6,9,0
400000,650000,1,1,1,0,1,0
45945.00,,0,1,3,0,1,0
50000,55000,1,0,1,2,1,0
800000,2000000,1,0,1,5,1,0
335000,400000,0,0,1,0,9,0
80000,110000,0,0,1,5,1,0
1000,1000,1,0,3,2,4,0
30000,50000,1,1,1,5,9,0
4500,4500,1,1,1,4,1,0
19000,24000,1,0,1,2,1,0
45000,50000,1,0,1,5,1,0
30000,45000,1,1,1,0,0,0
600000,750000,1,1,1,0,1,0
45000,70000,1,1,1,5,9,0
60000,80000,1,0,1,5,1,0
1000,1000,0,0,1,2,4,1
4500,4500,1,1,1,4,1,0
25000,35000,1,1,1,0,9,0
45000,55000,1,0,1,0,1,0
40000,50000,1,0,1,2,4,0
55,65,0,1,0,5,1,1
30000,37000,1,1,1,6,4,0
80000,120000,0,1,1,5,1,0
23000,96000,0,1,1,4,9,0
110000,120000,0,0,1,5,1,0
50,70,1,1,1,2,1,0
480000,600000,1,0,1,5,9,0
0,0,1,0,0,0,1,0
1000,5000,0,0,1,4,4,1
40000,50000,1,0,1,5,1,0
25000,30000,1,1,1,5,9,0
80000,175000,1,1,1,3,1,0
35000,45000,1,0,1,5,9,0
20000,25000,1,1,1,2,1,0
45000,60000,1,1,1,5,1,0
65000,85000,1,0,1,5,1,0
80000,100000,0,0,1,5,1,0
90000,110000,1,1,1,5,1,0
100000,150000,1,1,1,5,1,0
75000,100000,1,0,1,1,9,0
80000,100000,0,0,1,5,1,0
80000,100000,0,0,1,5,1,0
24900,31200,0,0,1,0,4,0
42000,48000,0,0,1,2,9,0
80000,120000,1,1,1,5,1,0
40000,50000,0,0,1,2,1,0
75000,85000,1,0,1,5,1,0
27000,28000,1,1,1,2,10,0
35000,45000,0,1,1,1,9,0
45000,50000,1,1,1,2,9,0
18000,23000,1,0,1,2,9,0
40000,50000,1,0,1,6,4,0
10716,16074,1,1,3,2,4,0
24000,26000,1,0,0,5,1,0
50000,65000,1,1,1,0,9,0
35000,50000,1,1,1,0,4,0
0,9360000,1,0,1,5,1,0
4500,4500,1,1,1,4,1,0
36000,50000,0,0,1,2,9,1
20000,30000,1,0,0,2,1,1
45000,85000,1,0,1,0,4,0
40000,50000,0,0,1,2,1,0
0,268,1,1,1,2,4,0
50000,70000,0,0,0,6,6,0
20000,30000,1,0,1,2,9,0
35000,45000,1,1,1,0,4,0
20000,22000,1,1,1,5,9,0
21120,30000,1,0,1,2,4,0
37400,37400,0,0,1,0,4,0
49000,58000,1,1,1,6,9,0
80000,80000,1,1,1,3,1,0
25000,40000,1,0,1,5,1,0
15000,16000,1,1,1,2,1,0
18000,22000,1,1,1,2,9,0
39000,100000,1,0,1,5,1,0
140000,150000,0,0,1,1,1,0
30000,40000,1,1,1,5,1,0
30000,40000,1,0,0,5,1,0
45000,60000,1,1,1,5,1,0
35000,45000,1,1,1,0,1,0
140000,150000,0,0,1,1,1,0
40000,50000,1,1,1,2,7,0
25000,35000,1,0,1,2,4,1
0,30000,1,0,1,0,1,0
40000,50000,1,0,1,5,1,0
20,3075,0,0,3,6,9,1
18000,23000,1,0,1,2,9,0
0,0,0,0,0,5,1,0
60000,80000,0,1,1,2,4,1
80000,100000,1,1,1,0,0,0
70000,85000,1,0,1,5,1,0
25000,100000,1,1,1,0,9,0
16500,18500,1,1,1,2,4,0
40000,50000,1,1,1,5,1,0
60000,120000,1,1,0,0,1,0
20000,35000,1,0,1,2,9,0
50000,55000,0,1,1,0,1,0
90000,100000,1,0,1,5,5,0
36000,42000,1,1,4,0,9,0
40000,140000,1,1,1,2,1,0
60000,75000,1,1,1,0,1,0
800000000,1200000000,1,0,1,5,1,0
35000,55000,1,1,1,0,1,0
0,45000,1,0,1,0,1,0
80000,100000,1,1,1,5,1,0
16000,18500,1,1,1,2,4,0
60000,90000,1,0,1,5,1,0
75000,100000,0,1,1,5,4,0
42000,62000,1,1,1,5,9,0
23000,26000,1,1,1,6,9,0
35000,100000,1,1,1,2,4,0
70000,300000,1,1,1,5,6,0
30000,45000,1,1,1,5,9,0
60000,80000,1,0,1,5,1,0
77000,97000,1,0,1,0,1,0
0,0,0,0,1,6,9,0
16000,18000,1,0,1,2,1,0
30000,50000,1,0,1,2,4,1
40000,45000,1,1,1,5,1,0
40000,70000,1,1,1,0,1,0
4500,4500,1,1,1,4,1,0
80000,130000,0,1,1,5,1,0
13,20,0,0,1,2,4,1
30000,37500,1,0,1,0,9,0
50,60,1,1,1,5,5,0
32500,37500,1,0,1,0,9,0
140000,160000,1,0,1,1,9,0
90,120,1,1,1,5,1,0
19800,20800,1,1,1,2,4,0
9600,18000,1,1,1,2,4,0
30000,50000,1,0,1,6,4,0
24000,32000,1,1,1,0,7,0
13000,14000,1,1,4,4,9,0
19000,19000,1,1,1,2,1,0
14000,16000,1,0,1,6,9,0
80000,85000,0,0,1,5,1,1
20000,50000,1,0,1,2,4,0
0,1,1,0,2,1,9,0
30000,50000,1,1,1,5,1,0
90000,120000,1,0,1,5,1,0
60000,100000,1,1,1,5,1,0
200000,600000,1,0,1,5,1,0
12500,15000,1,1,1,6,9,0
65000,80000,1,1,1,6,1,0
9000,12000,1,0,1,6,1,0
50000,60000,0,1,1,5,5,0
23000,24000,0,0,1,0,0,0
70000,150000,1,1,1,0,1,0
35000,40000,1,1,1,2,4,0
35000,40000,1,1,1,2,1,0
70000,85000,1,1,1,0,1,0
17000,20000,0,0,1,5,9,0
18720,21840,1,1,1,2,4,0
30000,35000,0,0,1,0,4,0
29000,33000,1,1,1,0,4,0
20000,24000,1,1,1,0,1,0
400000,600000,1,1,1,0,1,0
17000,22000,1,1,0,2,1,0
40000,100000,0,1,1,0,1,0
67000,70000,0,1,1,0,1,0
30000,50000,1,0,1,2,4,1
45000,67000,1,0,1,2,9,0
45000,67000,1,0,1,2,9,0
45000,67000,1,0,1,2,9,0
40000,60000,1,0,1,5,0,0
0,0,1,1,1,4,5,0
19000,36000,1,1,1,2,4,0
36000,42000,1,1,4,0,9,0
25000,30000,1,0,1,2,9,0
30000,40000,1,0,1,0,1,0
40000,50000,1,1,1,5,9,0
540000,720000,0,1,1,5,5,0
80000,84000,0,0,1,2,1,0
55,65,1,1,0,5,1,1
35000,65000,1,1,1,2,4,0
180000,600000,0,0,1,5,9,0
40000,55000,1,1,1,5,1,0
14560,17680,1,1,1,6,10,0
450,500,0,0,0,5,1,0
35000,55000,1,0,1,2,4,0
65000,70000,1,1,1,2,1,0
40000,60000,0,0,1,0,1,0
9600,14400,1,0,0,4,1,0
45000,55000,1,0,1,0,0,0
40000,50000,0,0,1,2,1,0
20,25,1,0,1,6,9,0
55000,65000,1,1,1,5,1,0
45000,45000,1,0,1,0,1,0
1000,6000,1,0,1,6,4,1
40000,60000,1,1,1,6,9,0
45000,50000,1,1,1,2,1,0
30160,30160,1,1,1,0,4,0
55000,75000,0,0,1,2,4,0
22000,26000,1,1,1,2,1,0
40000,45000,1,0,1,0,1,0
66000,84000,1,0,0,2,4,0
30000,50000,1,0,1,2,4,1
30000,450000,1,0,1,5,10,0
14000,17000,1,1,1,2,4,0
15750,15750,0,1,1,6,9,0
65000,75000,1,1,1,5,1,0
18000,24000,1,1,1,2,1,0
41000,45000,1,1,1,2,1,0
1000,1000,0,1,4,2,9,0
12000,17000,0,0,1,2,9,1
30000,35000,1,0,1,2,0,0
60000,75000,0,0,1,1,1,0
16000,19200,1,1,3,5,10,0
35000,60000,0,1,1,5,1,0
50000,60000,1,1,1,0,1,0
60000,90000,1,1,1,1,1,0
13,15,1,1,1,0,4,0
21,63000,0,0,1,2,1,1
30000,35000,1,1,1,0,9,0
15000,18000,1,1,1,2,9,0
70000,80000,0,1,1,5,1,0
18000,25000,1,1,1,0,4,0
25000,30000,1,0,1,0,9,0
30000,50000,1,1,1,0,1,0
18000,30000,1,1,1,5,11,0
24000,32000,1,0,1,5,4,0
35000,40000,1,1,1,2,4,1
70000,120000,1,0,1,5,9,0
45000,50000,1,0,1,0,1,0
80000,140000,1,0,1,2,1,0
50000,70000,1,1,1,6,1,0
55000,70000,0,1,1,5,1,0
30000,40000,1,0,1,2,4,1
0,0,1,0,1,0,1,0
21000,21000,1,1,1,2,9,0
65000,120000,1,1,1,5,1,0
0,25000,1,0,1,6,9,0
55000,75000,0,0,1,2,4,0
28000,35000,1,1,1,0,9,0
18000,25000,1,1,1,2,1,0
40000,55000,1,1,1,0,1,0
40000,50000,1,1,1,5,9,0
45000,67000,1,0,1,2,9,0
0,15000,1,1,3,4,7,0
36000,65000,1,0,3,5,9,0
17000,32000,1,1,1,2,1,0
30000,60000,1,0,1,2,4,1
36000,65000,1,0,3,5,9,0
55000,75000,0,0,1,2,4,0
0,0,1,0,3,2,4,0
45000,55000,1,1,1,5,1,0
55000,100000,1,0,1,6,4,0
16000,18000,1,1,1,0,4,0
25000,35000,1,1,1,5,2,0
30000,35000,1,1,1,5,5,0
45000,65000,1,1,1,5,1,0
90000,120000,0,0,1,5,1,0
30000,40000,1,1,1,0,1,0
0,0,0,0,2,6,9,0
40000,50000,1,0,1,6,4,0
55,65,0,1,1,5,1,0
200000,500000,0,0,1,0,5,0
30000,50000,1,0,1,2,4,1
80000,100000,0,0,1,5,1,0
10000,16000,0,1,3,0,1,0
14000,40000,1,1,1,0,4,0
21,63000,0,0,1,2,1,1
200,230,0,1,1,1,1,0
3000,100000,1,0,0,6,4,0
28000,35000,1,1,1,2,4,1
12000,45000,1,1,1,0,4,0
25000,30000,0,1,1,5,9,0
50000,55000,1,1,1,2,1,0
23000,28000,1,1,1,2,4,1
721000,780000,0,0,1,5,5,0
45000,65000,1,1,1,5,1,1
30000,45000,1,1,1,2,4,1
30000,45000,1,1,1,0,4,1
60000,80000,1,0,1,0,9,0
70,90,1,0,1,5,1,0
110000,125000,1,1,1,3,1,0
22000,25000,1,0,1,0,1,0
22000,22000,0,1,1,6,9,0
75000,85000,0,1,1,5,2,0
30000,40000,1,1,1,0,1,0
50000,65000,1,1,1,1,4,1
2000,5000,1,1,1,2,0,0
39000,41000,0,0,1,2,4,0
20000,24000,1,0,1,2,1,0
40000,50000,0,1,1,0,9,0
30,50,1,1,1,2,8,0
30000,36000,1,1,1,2,1,0
90000,125000,0,0,1,5,1,0
28000,32000,1,1,1,0,4,1
32000,40000,1,1,1,0,1,0
30000,45000,1,1,1,0,4,1
55000,65000,1,1,1,0,1,0
55000,75000,0,0,1,2,4,0
4500,4500,1,1,1,4,1,0
4500,4500,1,1,1,4,1,0
36000,42000,1,1,4,5,9,0
2500,5000,0,1,1,6,9,1
1000,2000,0,1,3,5,5,1
30000,50000,1,1,0,6,9,0
16000,18500,1,1,1,2,4,0
18000,20000,1,0,1,2,1,0
130000,160000,1,0,1,1,1,0
28000,35000,0,0,1,0,4,0
17000,21000,1,1,1,2,1,0
95000,150000,0,1,1,1,9,0
4500,4500,1,1,1,4,1,0
90000,130000,1,1,1,5,1,0
70,120,0,0,1,2,1,0
30000,30000,0,1,4,5,0,0
32000,36000,1,1,1,2,0,0
55000,80000,0,1,1,1,9,0
30000,40000,1,1,1,5,1,0
1000,3000,0,0,1,2,4,1
350000,500000,1,1,1,2,1,0
40000,60000,0,1,1,2,1,0
20000,25000,1,1,1,3,9,0
18000,21000,1,1,1,0,1,0
20000,40000,0,1,1,0,6,0
3000000,4000000,0,0,1,2,4,0
25000,28000,0,0,3,6,9,1
100000,160000,0,0,1,5,1,0
4500,4500,1,1,1,4,1,0
35000,60000,1,1,1,0,9,0
40000,60000,1,1,1,0,9,0
70000,120000,1,0,1,5,1,0
30000,100000,1,1,0,0,2,1
25000,30000,0,1,1,6,6,0
20000,35000,1,1,1,5,1,0
130000,145000,0,0,1,1,1,0
4500,4500,1,1,1,4,1,0
60000,80000,1,1,1,5,0,0
35,45,1,1,1,0,1,0
1000,2000,0,0,1,2,4,1
20000,100000,0,1,1,0,9,0
41600,62400,0,1,1,5,10,0
1000,2000,0,0,1,5,5,1
4500,4500,1,1,1,4,1,0
18000,20000,1,1,1,4,1,0
40000,50000,0,1,1,0,1,0
6266624,8582080,0,1,1,2,0,1
60000,80000,1,1,1,5,9,0
2000,2000,0,0,1,4,4,1
20000,500000,0,0,1,0,5,0
45000,70000,0,1,1,0,1,0
16000,18500,1,1,1,2,4,0
120000,130000,1,1,1,1,1,0
140000,200000,0,0,1,0,6,0
42000,80000,1,1,0,6,9,0
60000,120000,1,1,0,0,1,0
60000,120000,1,1,0,6,1,0
30000,60000,1,1,1,0,9,0
35000,50000,1,1,1,0,9,0
34000,50000,0,0,0,0,4,1
24000,28000,1,1,1,0,4,0
0,0,0,0,0,5,9,0
80000,100000,0,0,1,5,1,0
90000,110000,1,0,1,5,1,0
20000,30000,1,1,1,0,4,0
30000,35000,1,0,1,6,9,0
70000,90000,1,1,1,5,1,0
800000,1200000,0,0,1,5,5,0
28000,32000,1,1,1,2,1,0
42000,62000,1,1,1,5,9,0
50000,70000,0,1,1,5,1,0
60,150,1,0,1,2,4,0
20000,25000,1,1,1,5,5,0
18000,22000,1,1,1,2,9,0
15000,30000,1,0,0,0,1,0
15000,25000,1,0,1,6,1,0
4500,4500,1,1,1,4,1,0
33000,53000,0,0,1,2,4,0
14000,18000,1,1,1,0,9,0
0,0,1,1,3,2,1,0
60000,100000,0,1,1,6,4,0
28000,28000,1,0,1,6,9,0
50000,75000,0,1,0,2,4,0
5000,10000,0,1,1,2,4,0
65000,80000,1,1,1,5,1,0
20000,40000,1,1,1,5,9,0
35000,40000,1,1,1,2,1,0
40000.00,,1,1,1,0,1,0
50000,60000,1,1,1,0,1,0
0,0,1,1,3,2,9,0
20000,36000,1,1,1,5,1,0
29120,37440,1,0,1,2,0,0
30000,48000,1,1,1,5,9,0
45000,96000,1,0,1,1,1,0
45000,50000,0,0,1,4,4,1
50000,72000,1,1,1,0,1,0
1000,1500,0,1,0,6,1,0
20000,24000,1,1,1,6,9,0
100000,120000,0,0,1,5,1,0
20000,24000,0,0,1,0,0,0
60000,100000,1,1,1,5,1,0
7200,1380000,0,0,1,6,9,1
1000,2000,0,0,1,2,4,1
25000,30000,0,1,1,6,9,0
7200,1380000,0,0,2,6,9,1
65000,70000,0,1,1,5,1,0
0,0,1,0,3,2,4,0
180000,200000,1,0,1,3,5,0
35000,60000,0,1,1,6,4,0
40000,50000,1,1,1,5,9,0
0,20000,0,0,3,6,4,0
20800,22880,1,1,1,2,4,0
45000,60000,1,1,1,5,1,0
22000,28000,0,1,3,4,9,1
30000,60000,1,1,1,0,9,0
0,0,1,1,4,4,9,0
100000,120000,1,1,1,5,1,0
35000,50000,0,1,1,2,9,1
120000,150000,1,1,1,5,1,0
35000,45000,1,1,1,2,4,1
0,0,1,1,0,2,7,0
2000,40000,0,1,1,5,1,0
70000,80000,1,1,1,5,2,1
50000,55000,0,1,1,0,1,0
100000,120000,1,1,1,5,1,0
12000,17500,0,1,1,5,2,0
0,0,0,0,3,0,6,0
34000,38000,0,0,1,0,4,0
45000,55000,1,0,1,0,1,0
23000,28000,0,0,1,5,1,0
32,35,0,1,1,2,1,0
20000,30000,1,0,1,2,4,0
750,750,0,0,1,6,9,0
20000,40000,1,0,1,0,1,0
35000,55000,0,1,1,4,5,0
35,40,1,1,1,5,1,0
50000,75000,1,1,1,5,9,0
25000,35000,1,1,3,5,1,0
20000,30000,1,1,1,0,9,0
18000,25000,0,0,1,0,2,0
600000,800000,0,1,1,5,1,0
28000,42000,1,1,1,0,4,0
60000,100000,1,1,1,5,1,0
50000,55000,1,1,1,2,1,0
20800,22800,1,1,1,0,4,0
50000,65000,1,1,1,4,1,0
55000,75000,1,1,1,0,1,0
75000,100000,0,0,1,5,1,0
0,0,1,0,1,2,4,0
16000,24000,1,1,0,0,4,0
27,30,1,1,1,5,1,0
25000,40000,1,1,1,0,9,0
250000,500000,0,0,1,6,4,1
250000,500000,0,0,1,6,4,1
250000,500000,0,0,1,6,4,1
0,0,1,1,1,6,1,0
85,95,1,1,1,5,1,0
80000,100000,1,1,1,6,1,0
20000,50000,1,0,0,0,1,0
70000,80000,0,1,1,5,9,0
50000,85000,1,0,1,6,9,0
500000,800000,0,1,1,5,1,0
110,120,0,1,1,5,1,0
115000,125000,0,1,1,5,1,0
60000,75000,1,1,1,5,1,0
20,22,1,1,1,2,1,0
50000,70000,1,1,1,1,1,0
40000,60000,1,1,1,0,1,0
35000,45000,1,1,1,5,1,0
55000,75000,0,0,1,2,4,0
27500,36000,0,1,1,6,9,0
300000,325000,0,1,1,5,1,0
50000,55000,1,1,1,2,9,0
50000,70000,1,1,1,0,1,0
0,0,1,0,1,2,9,0
45000,60000,1,1,1,0,1,0
80,100,0,1,0,5,4,0
50000,70000,1,0,0,5,1,0
60,75,1,0,1,5,1,0
80000,120000,1,1,1,5,1,0
33000,36000,1,1,1,0,1,0
15,25,0,1,0,5,1,0
30000,35000,0,1,1,2,9,0
0,65000,0,0,1,2,4,0
60000,70000,0,0,1,0,1,0
30000,40000,1,0,1,5,1,0
17000,30000,1,1,1,2,9,0
55000,60000,1,0,1,5,1,0
70000,125000,1,1,1,5,4,0
50000,60000,1,1,1,0,0,0
21600,31200,1,0,3,2,4,1
23000,30000,1,1,1,2,1,0
35,45,0,1,0,1,1,1
15750,15750,0,1,1,6,9,0
45,48,1,1,0,5,1,1
36000,200000,0,1,1,2,9,0
15750,15750,0,1,1,6,9,0
26000,52000,1,1,1,6,4,0
900,900,0,1,4,6,9,0
50000,55000,1,0,1,2,1,0
85000,95000,1,0,1,0,3,0
